latitude,longitude,confidence,frp
-16.1354,136.7244,28,6.2
-15.7816,137.0067,82,11.7
-15.0086,131.7782,43,13.7
-16.1452,136.7267,62,8.3
-15.1785,129.9115,62,24.9
-15.1826,129.9346,98,70.6
-15.1737,129.9314,81,39
-15.1877,129.9285,73,31.9
-15.503,130.6239,41,22.2
-15.4997,130.6191,34,22.8
-20.7922,119.449,54,24.3
-23.3644,146.7548,86,70
-27.761,148.4035,44,8.7
-24.9392,149.6866,79,19
-26.8312,151.9025,28,3.7
-27.8513,149.1812,53,7.7
-27.1854,148.6423,87,40.9
-27.1953,148.6402,85,32.9
-27.2172,148.6483,95,76.9
-27.2193,148.6607,92,57.3
-27.2271,148.6462,77,18.6
-27.2292,148.6586,83,29
-27.5546,148.8236,54,6.7
-27.7697,148.3956,49,8.2
-29.112,150.066,60,5.1
-28.5513,149.8406,59,4.8
-28.5496,149.8298,65,6.6
-28.4773,149.8556,62,5.8
-29.4444,150.5449,63,6.6
-31.3054,151.3606,69,10.9
-30.3141,148.0066,55,4.1
-30.9368,152.3981,55,6.9
-30.31,148.9637,33,3.6
-30.3669,149.9539,44,4.1
-30.3461,152.1767,51,5.2
-29.8435,151.2999,41,3.9
-29.8224,151.2826,60,5.7
-29.7975,152.5318,59,7.3
-29.4428,150.5345,87,28.9
-29.4338,150.5364,83,21.6
-29.2555,150.4549,69,7.3
-29.2539,150.4445,75,11.5
-31.931,147.248,60,6.4
-31.9409,147.2457,50,4.4
-32.1089,149.2395,32,4.1
-34.1861,142.2667,37,15.6
-34.1884,142.2718,63,25
-34.5834,147.9721,58,9.3
-34.4649,150.893,0,3.8
-34.4634,150.8819,56,6.9
-41.6233,148.2001,57,9.5
-41.6216,148.1881,86,32.5
-14.2906,134.939,88,62.4
-11.2207,131.8931,0,13.7
-11.2557,131.8785,77,14.8
-11.2571,131.8878,78,15.3
-11.5159,132.6096,75,18.8
-11.5173,132.6195,99,81
-11.5368,132.7585,60,8.9
-11.5266,132.6182,70,19.7
-11.5462,132.7572,79,19
-11.5827,132.6345,49,10.5
-11.5841,132.6445,54,11.4
-11.3928,130.8015,100,112.7
-11.3941,130.8105,97,61.6
-11.3954,130.8196,59,13.5
-11.3968,130.8287,41,11.2
-11.3995,130.8469,41,13.9
-11.4031,130.8092,42,10.3
-11.4098,130.8547,38,8.4
-11.4111,130.8638,68,11.9
-11.4208,130.8651,74,18.1
-11.4414,130.5086,43,9.7
-11.4427,130.5177,43,7.7
-11.5029,130.2408,100,92.2
